patent_count_by_gender_collab,filing_year,gender_collab_type,gov_reliance_type_three_type,patent_count,pct
747,1983,only_females,Indirect,72,9.63855421686747
2490,2006,only_females,Indirect,492,19.759036144578314
29998,2019,gender_collab,No_support,29998,100.0
731,1980,only_females,Direct,12,1.6415868673050615
14866,2003,gender_collab,No_support,9905,66.62854836539755
78766,2007,only_males,Direct,3307,4.198512048345733
37661,1978,only_males,Direct,1623,4.309497889062956
21398,2021,gender_collab,No_support,21398,100.0
98806,2014,only_males,Direct,2675,2.707325466064814
69558,2021,only_males,No_support,69558,100.0
101479,2019,only_males,No_support,101479,100.0
1513,1982,gender_collab,Indirect,188,12.4256444150694
77623,1999,only_males,Indirect,13460,17.34022132615333
44963,1989,only_males,No_support,37269,82.88815248092877
1016,1986,only_females,Direct,36,3.543307086614173
2707,1998,only_females,No_support,2280,84.2260805319542
747,1983,only_females,Direct,29,3.8821954484605086
912,1985,only_females,Direct,27,2.960526315789474
35668,1986,only_males,Direct,1280,3.588650891555456
76162,2006,only_males,No_support,55504,72.8762374937633
1286,1988,only_females,Direct,37,2.8771384136858478
42295,1988,only_males,No_support,35119,83.03345549119281
3248,1988,gender_collab,Indirect,475,14.624384236453203
4152,1990,gender_collab,Direct,279,6.719653179190751
5880,1993,gender_collab,Direct,478,8.129251700680273
52290,1993,only_males,Indirect,7493,14.329699751386498
15307,2002,gender_collab,No_support,10220,66.76683870124779
5880,1993,gender_collab,Indirect,1035,17.602040816326532
29004,2018,gender_collab,No_support,29004,100.0
2800,2011,only_females,No_support,2153,76.89285714285714
2513,2007,only_females,Direct,110,4.3772383605252685
2518,2010,only_females,Direct,114,4.527402700555997
3346,2014,only_females,No_support,2806,83.86132695756126
3346,2014,only_females,Indirect,427,12.761506276150628
16514,2007,gender_collab,No_support,10918,66.11360058132493
1535,1993,only_females,Direct,58,3.778501628664495
76186,2010,only_males,No_support,55313,72.60257790145171
40198,1977,only_males,No_support,35421,88.11632419523359
35668,1986,only_males,Indirect,4698,13.171470225412135
28573,2017,gender_collab,Indirect,174,0.6089665068421237
10838,1997,gender_collab,Indirect,2086,19.247093559697362
24382,2014,gender_collab,Indirect,4506,18.48084652612583
2702,2003,only_females,No_support,2187,80.940044411547
18491,2011,gender_collab,Indirect,4577,24.752582337353306
57814,1994,only_males,No_support,46431,80.31099733628533
2486,2009,only_females,No_support,1962,78.92196299275945
777,1982,only_females,No_support,666,85.71428571428571
76186,2010,only_males,Direct,3305,4.338067361457486
2707,1998,only_females,Direct,106,3.915773919468046
68010,1995,only_males,Direct,2954,4.343478900161741
1167,1979,gender_collab,Indirect,111,9.511568123393316
4152,1990,gender_collab,No_support,3302,79.52793834296725
2710,1987,gender_collab,Indirect,374,13.800738007380074
76186,2010,only_males,Indirect,17568,23.059354737090803
2702,2003,only_females,Direct,90,3.3308660251665434
2231,1996,only_females,Indirect,275,12.32631107126849
3018,2012,only_females,No_support,2406,79.72166998011929
98724,2015,only_males,No_support,85895,87.00518617560067
3793,2017,only_females,Direct,7,0.18455048774057475
26649,2020,gender_collab,No_support,26649,100.0
14659,2004,gender_collab,Direct,1029,7.019578415990177
5880,1993,gender_collab,No_support,4367,74.2687074829932
38583,1987,only_males,No_support,32133,83.28279293989581
33657,1984,only_males,Direct,1425,4.233888938408057
80600,2003,only_males,Direct,3026,3.7543424317617866
36965,1979,only_males,Direct,1557,4.212092519951305
16514,2007,gender_collab,Indirect,4267,25.83868233014412
12685,1999,gender_collab,No_support,9058,71.40717382735514
15017,2001,gender_collab,Indirect,3586,23.879603116468004
